cik,name,alias,alias_clean,alias_source
0000066570,MSA SAFETY INC,Mine Safety Appliances Co,mine safety appliances,ticker_map_name
0000067887,MOOG INC  -CL A,Moog Inc,moog,ticker_map_name
0000070866,NCR VOYIX CORP,NCR Corp,ncr,ticker_map_name
0000071691,NEW YORK TIMES CO  -CL A,New York Times Co,new york times,ticker_map_name
0000072444,VAXART INC,Biota Pharmaceuticals Inc,biota pharmaceuticals,ticker_map_name
0000072741,EVERSOURCE ENERGY,Northeast Utilities,northeast utilities,ticker_map_name
0000074046,OIL DRI CORP AMERICA,Oil Dri Corp Of America,oil dri corp of america,ticker_map_name
0000074260,OLD REPUBLIC INTL CORP,Old Republic International Corp,old republic international,ticker_map_name
0000075252,ACCENDRA HEALTH INC,Owens & Minor Inc,owens minor,ticker_map_name
0000076334,PARKER-HANNIFIN CORP,Parker Hannifin Corp,parker hannifin,ticker_map_name
0000080172,NATIONAL PRESTO INDS INC,National Presto Industries Inc,national presto industries,ticker_map_name
0000080661,PROGRESSIVE CORP-OHIO,Progressive Corp,progressive,ticker_map_name
0000081033,PUBLIC SERVICE ELEC & GAS CO,Public Service Electric & Gas Co,public service electric gas,ticker_map_name
0000082473,INNSUITES HOSPITALITY TR,Innsuites Hospitality Trust,innsuites hospitality trust,ticker_map_name
0000082811,REGAL REXNORD CORP,Regal Beloit Corp,regal beloit,ticker_map_name
0000086312,TRAVELERS COS INC,Travelers Companies Inc,travelers companies,ticker_map_name
0000087347,SLB LTD,Schlumberger LTD,schlumberger,ticker_map_name
0000088205,SPX TECHNOLOGIES INC,SPX Corp,spx,ticker_map_name
0000089089,SERVICE CORP INTERNATIONAL,Service Corporation International,service corporation international,ticker_map_name
0000089800,SHERWIN-WILLIAMS CO,Sherwin Williams Co,sherwin williams,ticker_map_name
0000090896,CHAMPION HOMES INC,Skyline Corp,skyline,ticker_map_name
0000091142,SMITH (A.O.),Smith A O Corp,smith a o,ticker_map_name
0000091419,SMUCKER (JM) CO,Smucker J M Co,smucker j m,ticker_map_name
0000091882,SOUTH CAROLINA ELEC & GAS CO,South Carolina Electric & Gas Co,south carolina electric gas,ticker_map_name
0000092230,TRUIST FINANCIAL CORP,BB&T Corp,bbt,ticker_map_name
0000095552,SUPERIOR INDUSTRIES INTL,Superior Industries International Inc,superior industries international,ticker_map_name
0000095574,SUPERIOR GROUP OF COS INC,Superior Uniform Group Inc,superior uniform,ticker_map_name
0000096223,JEFFERIES FINANCIAL GRP INC,Leucadia National Corp,leucadia national,ticker_map_name
0000100493,TYSON FOODS INC  -CL A,Tyson Foods Inc,tyson foods,ticker_map_name
0000100517,UNITED AIRLINES HOLDINGS INC,United Continental Holdings Inc,united continental,ticker_map_name
0000101538,U S ANTIMONY CORP,United States Antimony Corp,united states antimony,ticker_map_name
0000101829,RTX CORP,United Technologies Corp,united technologies,ticker_map_name
0000103379,VF CORP,V F Corp,v f,ticker_map_name
0000104169,WALMART INC,Wal Mart Stores Inc,wal mart stores,ticker_map_name
0000105132,WD-40 CO,WD 40 Co,wd 40,ticker_map_name
0000105319,WW INTERNATIONAL INC,Weight Watchers International Inc,weight watchers international,ticker_map_name
0000107140,WILEY (JOHN) & SONS  -CL A,Wiley John & Sons Inc,wiley john sons,ticker_map_name
0000107263,WILLIAMS COS INC,Williams Companies Inc,williams companies,ticker_map_name
0000108516,WORTHINGTON ENTERPRISES INC,Worthington Industries Inc,worthington industries,ticker_map_name
0000109198,TJX COS INC (THE),TJX Companies Inc,tjx companies,ticker_map_name
0000109380,ZIONS BANCORPORATION NA,Zions Bancorporation,zions bancorporation,ticker_map_name
0000109563,APPLIED INDUSTRIAL TECH INC,Applied Industrial Technologies Inc,applied industrial technologies,ticker_map_name
0000202058,L3HARRIS TECHNOLOGIES INC,Harris Corp,harris,ticker_map_name
0000216085,HAVERTY FURNITURE,Haverty Furniture Companies Inc,haverty furniture companies,ticker_map_name
0000230557,SELECTIVE INS GROUP INC,Selective Insurance Group Inc,selective insurance,ticker_map_name
0000278165,OMNIQ CORP,Amerigo Energy Inc,amerigo energy,ticker_map_name
0000310522,FEDERAL NATIONAL MORTGA ASSN,Federal National Mortgage Association Fannie Mae,federal national mortgage association fannie mae,ticker_map_name
0000314203,MCEWEN INC,Mcewen Mining Inc,mcewen mining,ticker_map_name
0000314808,VALARIS LIMITED,Ensco PLC,ensco,ticker_map_name
0000315213,ROBERT HALF INC,Half Robert International Inc,half robert international,ticker_map_name
0000315709,INTL BANCSHARES CORP,International Bancshares Corp,international bancshares,ticker_map_name
0000315958,CREDITRISKMONITOR.COM INC,Creditriskmonitor Com Inc,creditriskmonitor com,ticker_map_name
0000317788,DIGITAL TURBINE INC,Mandalay Digital Group Inc,mandalay digital,ticker_map_name
0000318299,SPARTA COMMERCIAL SERVIC INC,Sparta Commercial Services Inc,sparta commercial services,ticker_map_name
0000319201,KLA CORP,Kla Tencor Corp,kla tencor,ticker_map_name
0000320121,TELOS CORP/MD,Telos Corp,telos,ticker_map_name
0000320187,NIKE INC  -CL B,Nike Inc,nike,ticker_map_name
0000320335,GLOBE LIFE INC,Torchmark Corp,torchmark,ticker_map_name
0000351817,SILVERBOW RESOURCES INC,Swift Energy Co,swift energy,ticker_map_name
0000351998,DATA I/O CORP,Data I,data i,ticker_map_name
0000354190,ARTHUR J GALLAGHER & CO,Gallagher Arthur J & Co,gallagher arthur j,ticker_map_name
0000354707,HAWAIIAN ELECTRIC INDS,Hawaiian Electric Industries Inc,hawaiian electric industries,ticker_map_name
0000354963,SHENANDOAH TELECOMMUN CO,Shenandoah Telecommunications Co,shenandoah telecommunications,ticker_map_name
0000356590,GLOBAL TECH INDS GROUP INC,Tree Top Industries Inc,tree top industries,ticker_map_name
0000357173,OLD SECOND BANCORP INC/IL,Old Second Bancorp Inc,old second bancorp,ticker_map_name
0000357294,HOVNANIAN ENTRPRS INC  -CL A,Hovnanian Enterprises Inc,hovnanian enterprises,ticker_map_name
0000357301,TRUSTCO BANK CORP/NY,Trustco Bank Corp N Y,trustco bank corp n y,ticker_map_name
0000700764,VICTORY OILFIELD TECH INC,Victory Energy Corp,victory energy,ticker_map_name
0000701347,CENTRAL PACIFIC FINANCIAL CP,Central Pacific Financial Corp,central pacific financial,ticker_map_name
0000701374,SIX FLAGS ENTERTAINMENT -OLD,Six Flags Entertainment Corp,six flags entertainment,ticker_map_name
0000701719,ENVELA CORP,Dgse Companies Inc,dgse companies,ticker_map_name
0000701985,BATH & BODY WORKS INC,L Brands Inc,l brands,ticker_map_name
0000703351,BRINKER INTL INC,Brinker International Inc,brinker international,ticker_map_name
0000703604,DISTRIBUTION SOLUTIO GRO INC,Lawson Products Inc,lawson products,ticker_map_name
0000704532,ONTO INNOVATION INC,Nanometrics Inc,nanometrics,ticker_map_name
0000704562,AVID BIOSERVICES INC,Peregrine Pharmaceuticals Inc,peregrine pharmaceuticals,ticker_map_name
0000708955,FIRST FINL BANCORP INC/OH,First Financial Bancorp,first financial bancorp,ticker_map_name
0000709337,FARMERS NATL BANC CORP/OH,Farmers National Banc Corp,farmers national banc,ticker_map_name
0000711404,COOPER COS INC (THE),Cooper Companies Inc,cooper companies,ticker_map_name
0000712537,FIRST COMMONWLTH FINL CP/PA,First Commonwealth Financial Corp,first commonwealth financial,ticker_map_name
0000712771,CONNECTONE BANCORP INC,Center Bancorp Inc,center bancorp,ticker_map_name
0000713425,LOGILITY SPPLY CHAIN SOL INC,American Software Inc,american software,ticker_map_name
0000713676,PNC FINANCIAL SVCS GROUP INC,PNC Financial Services Group Inc,pnc financial services,ticker_map_name
0000714256,SANARA MEDTECH INC,Wound Management Technologies Inc,wound management technologies,ticker_map_name
0000715446,ANIXA BIOSCIENCES INC,Copytele Inc,copytele,ticker_map_name
0000715957,DOMINION ENERGY INC,Dominion Resources Inc,dominion resources,ticker_map_name
0000717806,FIRST US BANCSHARES INC,United Security Bancshares Inc,united security bancshares,ticker_map_name
0000719274,GIGA-TRONICS INC,Giga Tronics Inc,giga tronics,ticker_map_name
0000719955,WILLIAMS-SONOMA INC,Williams Sonoma Inc,williams sonoma,ticker_map_name
0000723188,COMMUNITY FINANCIAL SYST INC,Community Bank System Inc,community bank system,ticker_map_name
0000726601,CAPITAL CITY BK GROUP INC,Capital City Bank Group Inc,capital city bank,ticker_map_name
0000729986,UNITED BANKSHARES INC/WV,United Bankshares Inc,united bankshares,ticker_map_name
0000730464,COVISTA INC,Devry Education Group Inc,devry education,ticker_map_name
0000730708,SEACOAST BANKING CORP/FL,Seacoast Banking Corp Of Florida,seacoast banking corp of florida,ticker_map_name
0000732026,TRIO-TECH INTERNATIONAL,Trio Tech International,trio tech international,ticker_map_name
0000733269,LIVERAMP HOLDINGS INC,Acxiom Corp,acxiom,ticker_map_name
0000736772,CNB FINANCIAL CORP/PA,CNB Financial Corp,cnb financial,ticker_map_name
0000737468,WASHINGTON TR BANCORP INC,Washington Trust Bancorp Inc,washington trust bancorp,ticker_map_name
0000743367,BAR HARBOR BANKSHARES,Harbor Bankshares Bar,harbor bankshares bar,ticker_map_name
0000743758,AIADVERTISING INC,Warp 9 Inc,warp 9,ticker_map_name
0000744452,BNB PLUS CORP,Applied Dna Sciences Inc,applied dna sciences,ticker_map_name
0000746514,NEW ENGLAND REALTY ASSC  -LP,New England Realty Associates Limited Partnership,new england realty associates limited partnership,ticker_map_name
0000746515,EXPEDITORS INTL WASH INC,Expeditors International Of Washington Inc,expeditors international of washington,ticker_map_name
0000748268,RED CAT HOLDINGS INC,Broadleaf Capital Partners Inc,broadleaf capital partners,ticker_map_name
0000749647,IMUNON INC,Celsion Corp,celsion,ticker_map_name
0000750004,LIGHT & WONDER INC,Scientific Games Corp,scientific games,ticker_map_name
0000750574,AUBURN NATIONAL BANCORP,Auburn National Bancorporation Inc,auburn national bancorporation,ticker_map_name
0000750577,HANCOCK WHITNEY CORP,Hancock Holding Co,hancock,ticker_map_name
0000751364,NNN REIT INC,National Retail Properties Inc,national retail properties,ticker_map_name
0000764038,SOUTH STATE BANK CORP,First Financial Holdings Inc,first financial,ticker_map_name
0000764065,CLEVELAND-CLIFFS INC,Cliffs Natural Resources Inc,cliffs natural resources,ticker_map_name
0000765207,FIRST BANCORP INC/ME,First Bancorp Inc,first bancorp,ticker_map_name
0000765880,HEALTHPEAK PROPERTIES INC,HCP Inc,hcp,ticker_map_name
0000766704,WELLTOWER INC,Health Care REIT Inc,health care reit,ticker_map_name
0000766829,H2O AMERICA,SJW Corp,sjw,ticker_map_name
0000773717,AMERICAN CLEAN RES GRP INC,Standard Metals Processing Inc,standard metals processing,ticker_map_name
0000776867,WHITE MTNS INS GROUP LTD,White Mountains Insurance Group LTD,white mountains insurance,ticker_map_name
0000776901,INDEPENDENT BANK CORP/MA,Independent Bank Corp,independent bank,ticker_map_name
0000783325,WEC ENERGY GROUP INC,Wisconsin Energy Corp,wisconsin energy,ticker_map_name
0000784199,ARTIVION INC,Cryolife Inc,cryolife,ticker_map_name
0000788784,PUBLIC SERVICE ENTRP GRP INC,Public Service Enterprise Group Inc,public service enterprise,ticker_map_name
0000789460,WORLD KINECT CORP,World Fuel Services Corp,world fuel services,ticker_map_name
0000789933,NACCO INDUSTRIES  -CL A,Nacco Industries Inc,nacco industries,ticker_map_name
0000790051,CARLISLE COS INC,Carlisle Companies Inc,carlisle companies,ticker_map_name
0000790359,N B T BANCORP INC,NBT Bancorp Inc,nbt bancorp,ticker_map_name
0000792966,FARMERS & MERCHANTS BCP/OH,Farmers & Merchants Bancorp Inc,farmers merchants bancorp,ticker_map_name
0000793952,HARLEY-DAVIDSON INC,Harley Davidson Inc,harley davidson,ticker_map_name
0000796343,ADOBE INC,Adobe Systems Inc,adobe systems,ticker_map_name
0000796534,NATIONAL BANKSHARES INC VA,National Bankshares Inc,national bankshares,ticker_map_name
0000797465,HG HOLDINGS INC,Stanley Furniture Co Inc,stanley furniture,ticker_map_name
0000797542,VIEWBIX INC,Zaxis International Inc,zaxis international,ticker_map_name
0000798287,PAMT CORP,Pam Transportation Services Inc,pam transportation services,ticker_map_name
0000798941,FIRST CITIZENS BANCSH  -CL A,First Citizens Bancshares Inc,first citizens bancshares,ticker_map_name
0000799292,M/I HOMES INC,M I Homes Inc,m i homes,ticker_map_name
0000800240,ODP CORP,Office Depot Inc,office depot,ticker_map_name
0000802257,MITESCO INC,Trunity Holdings Inc,trunity,ticker_map_name
0000803578,FIREFLY NEUROSCIENCE INC,Information Analysis Inc,information analysis,ticker_map_name
0000803649,EQUITY COMMONWEALTH,Commonwealth REIT,commonwealth reit,ticker_map_name
0000804269,GENERAL MOTORS FINL CO INC,General Motors Financial Company Inc,general motors financial,ticker_map_name
0000811222,CARDIFF LEXINGTON CORP,Cardiff International Inc,cardiff international,ticker_map_name
0000812074,O-I GLASS INC,Owens Illinois Inc,owens illinois,ticker_map_name
0000814453,NEWELL BRANDS INC,Newell Rubbermaid Inc,newell rubbermaid,ticker_map_name
0000815097,CARNIVAL CORPORATION & PLC,Carnival Corp,carnival,ticker_map_name
0000818479,DENTSPLY SIRONA INC,Dentsply International Inc,dentsply international,ticker_map_name
0000819793,ALBANY INTL CORP  -CL A,Albany International Corp,albany international,ticker_map_name
0000820318,COHERENT CORP,Ii-vi Inc,iivi,ticker_map_name
0000821002,G-III APPAREL GROUP LTD,G III Apparel Group LTD,g iii apparel,ticker_map_name
0000821130,ARRAY DIG INFRASTRUCTURE INC,United States Cellular Corp,united states cellular,ticker_map_name
0000822370,EMMAUS LIFE SCIENCES INC,CNS Response Inc,cns response,ticker_map_name
0000822663,INTERPARFUMS INC,Inter Parfums Inc,inter parfums,ticker_map_name
0000826154,ORRSTOWN FINANCIAL SVCS INC,Orrstown Financial Services Inc,orrstown financial services,ticker_map_name
0000827187,SLEEP NUMBER CORP,Select Comfort Corp,select comfort,ticker_map_name
0000831259,FREEPORT-MCMORAN INC,Freeport Mcmoran Copper & Gold Inc,freeport mcmoran copper gold,ticker_map_name
0000833444,JOHNSON CONTROLS INTL PLC,Tyco International LTD,tyco international,ticker_map_name
0000835662,AIXIN LIFE INTERNATIONAL INC,Mercari Communications Group LTD,mercari communications,ticker_map_name
0000837852,IDEANOMICS INC,You On Demand Holdings Inc,you on demand,ticker_map_name
0000843006,ACCESS NEWSWIRE INC,Issuer Direct Corp,issuer direct,ticker_map_name
0000844965,TETRA TECHNOLOGIES INC/DE,Tetra Technologies Inc,tetra technologies,ticker_map_name
0000845877,FEDERAL AGRICULTURE MTG CP,Federal Agricultural Mortgage Corp,federal agricultural mortgage,ticker_map_name
0000849399,GEN DIGITAL INC,Symantec Corp,symantec,ticker_map_name
0000856984,AMER BIOGENETIC SCI  -CL A,American Biogenetic Sciences Inc,american biogenetic sciences,ticker_map_name
0000858470,COTERRA ENERGY INC,Cabot Oil & Gas Corp,cabot oil gas,ticker_map_name
0000860546,COPT DEFENSE PROPERTIES,Corporate Office Properties Trust,corporate office properties trust,ticker_map_name
0000860730,HCA HEALTHCARE INC,Hca Holdings Inc,hca,ticker_map_name
0000860748,KEMPER CORP/DE,Kemper Corp,kemper,ticker_map_name
0000861884,RELIANCE INC,Reliance Steel & Aluminum Co,reliance steel aluminum,ticker_map_name
0000862861,ALT5 SIGMA CORP,Appliance Recycling Centers Of America Inc,appliance recycling centers of america,ticker_map_name
0000864749,TRIMBLE INC,Trimble Navigation LTD,trimble navigation,ticker_map_name
0000866374,FLEX LTD,Flextronics International LTD,flextronics international,ticker_map_name
0000866439,DARKPULSE INC,Klever Marketing Inc,klever marketing,ticker_map_name
0000868857,AECOM,Aecom Technology Corp,aecom technology,ticker_map_name
0000873860,ONITY GROUP INC,Ocwen Financial Corp,ocwen financial,ticker_map_name
0000874015,IONIS PHARMACEUTICALS INC,Isis Pharmaceuticals Inc,isis pharmaceuticals,ticker_map_name
0000874238,STERLING INFRASTRUCTURE INC,Sterling Construction Co Inc,sterling construction,ticker_map_name
0000874501,OCTAVE SPECIALTY GROUP INC,Ambac Financial Group Inc,ambac financial,ticker_map_name
0000874716,IDEXX LABS INC,Idexx Laboratories Inc,idexx laboratories,ticker_map_name
0000874761,AES CORP (THE),Aes Corp,aes,ticker_map_name
0000874766,HARTFORD INSURANCE GROUP INC,Hartford Financial Services Group Inc,hartford financial services,ticker_map_name
0000875045,BIOGEN INC,Biogen Idec Inc,biogen idec,ticker_map_name
0000875582,NORTHERN TECH INTL,Northern Technologies International Corp,northern technologies international,ticker_map_name
0000876343,LINEAGE CELL THERAPEUTICS IN,Biotime Inc,biotime,ticker_map_name
0000876378,ASENSUS SURGICAL INC,Transenterix Inc,transenterix,ticker_map_name
0000876427,MONRO INC,Monro Muffler Brake Inc,monro muffler brake,ticker_map_name
0000876437,MGIC INVESTMENT CORP/WI,Mgic Investment Corp,mgic investment,ticker_map_name
0000876523,EZCORP INC  -CL A,Ezcorp Inc,ezcorp,ticker_map_name
0000876883,STAGWELL INC,MDC Partners Inc,mdc partners,ticker_map_name
0000877212,ZEBRA TECHNOLOGIES CP  -CL A,Zebra Technologies Corp,zebra technologies,ticker_map_name
0000877422,SPARTANNASH CO,Spartan Stores Inc,spartan stores,ticker_map_name
0000878927,OLD DOMINION FREIGHT,Old Dominion Freight Line Inc,old dominion freight line,ticker_map_name
0000879407,ARROWHEAD PHARMACEUTICAL INC,Arrowhead Research Corp,arrowhead research,ticker_map_name
0000879585,ATN INTERNATIONAL INC,Atlantic Tele Network Inc,atlantic tele network,ticker_map_name
0000880117,SANFILIPPO JOHN B&SON,Sanfilippo John B & Son Inc,sanfilippo john b son,ticker_map_name
0000880631,WISDOMTREE INC,Wisdomtree Investments Inc,wisdomtree investments,ticker_map_name
0000880807,AMERICAN SUPERCONDUCTOR CP,American Superconductor Corp,american superconductor,ticker_map_name
0000882184,D R HORTON INC,Horton D R Inc,horton d r,ticker_map_name
0000882835,ROPER TECHNOLOGIES INC,Roper Industries Inc,roper industries,ticker_map_name
0000883902,CORNERSTNE BULDNG BRNDS INC,Nci Building Systems Inc,nci building systems,ticker_map_name
0000883948,ATLANTIC UNION BANKSHRS CRP,Union First Market Bankshares Corp,union first market bankshares,ticker_map_name
0000883975,MICROBOT MEDICAL INC,Stemcells Inc,stemcells,ticker_map_name
0000884624,ORTHOFIX MEDICAL INC,Orthofix International N V,orthofix international n v,ticker_map_name
0000884887,ROYAL CARIBBEAN GROUP,Royal Caribbean Cruises LTD,royal caribbean cruises,ticker_map_name
0000885590,BAUSCH HEALTH COMPANIES INC,Valeant Pharmaceuticals International Inc,valeant pharmaceuticals international,ticker_map_name
0000886163,LIGAND PHARMACEUTICAL INC,Ligand Pharmaceuticals Inc,ligand pharmaceuticals,ticker_map_name
0000887359,VERICEL CORP,Aastrom Biosciences Inc,aastrom biosciences,ticker_map_name
0000888491,OMEGA HEALTHCARE INVS INC,Omega Healthcare Investors Inc,omega healthcare investors,ticker_map_name
0000889609,CONSUMER PORTFOLIO SVCS INC,Consumer Portfolio Services Inc,consumer portfolio services,ticker_map_name
0000889900,PATTERSON-UTI ENERGY INC,Patterson Uti Energy Inc,patterson uti energy,ticker_map_name
0000890394,PERASO INC,Mosys Inc,mosys,ticker_map_name
0000890564,ASGN INC,On Assignment Inc,on assignment,ticker_map_name
0000890821,ENVERIC BIOSCIENCES INC,Spatializer Audio Laboratories Inc,spatializer audio laboratories,ticker_map_name
0000891024,PATTERSON COS INC,Patterson Companies Inc,patterson companies,ticker_map_name
0000891103,MATCH GROUP INC,Iac,iac,ticker_map_name
0000891166,UNIVERSAL INSURANCE HLDGS,Universal Insurance Holdings Inc,universal insurance,ticker_map_name
0000891532,PERMA-FIX ENVIRONMENTAL SVCS,Perma Fix Environmental Services Inc,perma fix environmental services,ticker_map_name
0000893949,PEDIATRIX MEDICAL GROUP INC,Mednax Inc,mednax,ticker_map_name
0000894405,ARCBEST CORP,Arkansas Best Corp,arkansas best,ticker_map_name
0000894556,CITROTECH INC,General Environmental Management Inc,general environmental management,ticker_map_name
0000894871,ARENA GROUP HLDNGS INC (THE),Integrated Surgical Systems Inc,integrated surgical systems,ticker_map_name
0000895417,EQUITY LIFESTYLE PPTYS INC,Equity Lifestyle Properties Inc,equity lifestyle properties,ticker_map_name
0000895419,WOLFSPEED INC,Cree Inc,cree,ticker_map_name
0000896159,CHUBB LTD,Ace LTD,ace,ticker_map_name
0000896429,CANTALOUPE INC,USA Technologies Inc,usa technologies,ticker_map_name
0000896493,HYPERSCALE DATA INC,Digital Power Corp,digital power,ticker_map_name
0000897078,RESONATE BLENDS INC,Firstwave Technologies Inc,firstwave technologies,ticker_map_name
0000897448,AMARIN CORPORATION PLC,Amarin Corp PLC,amarin corp,ticker_map_name
0000898174,REINSURANCE GROUP AMER INC,Reinsurance Group Of America Inc,reinsurance group of america,ticker_map_name
0000898293,JABIL INC,Jabil Circuit Inc,jabil circuit,ticker_map_name
0000899394,HARBOR DIVERSIFIED INC,Harbor Biosciences Inc,harbor biosciences,ticker_map_name
0000899715,TANGER INC,Tanger Factory Outlet Centers Inc,tanger factory outlet centers,ticker_map_name
0000902791,BARRETT BUSINESS SVCS INC,Barrett Business Services Inc,barrett business services,ticker_map_name
0000907471,PATHWARD FINANCIAL INC,Meta Financial Group Inc,meta financial,ticker_map_name
0000907654,ORUKA THERAPEUTICS INC,Arca Biopharma Inc,arca biopharma,ticker_map_name
0000908259,ONCOTELIC THERAPEUTICS INC,Oxigene Inc,oxigene,ticker_map_name
0000909108,DIAMOND HILL INVESTMENT GRP,Diamond Hill Investment Group Inc,diamond hill investment,ticker_map_name
0000911177,CASELLA WASTE SYS INC  -CL A,Casella Waste Systems Inc,casella waste systems,ticker_map_name
0000912093,VIAVI SOLUTIONS INC,JDS Uniphase Corp,jds uniphase,ticker_map_name
0000912595,MID-AMERICA APT CMNTYS INC,Mid America Apartment Communities Inc,mid america apartment communities,ticker_map_name
0000913241,MADDEN STEVEN LTD,Steven Madden LTD,steven madden,ticker_map_name
0000913277,CLARUS CORP,Black Diamond Inc,black diamond,ticker_map_name
0000913341,C&F FINANCIAL CORP,C & F Financial Corp,c f financial,ticker_map_name
0000916540,DARLING INGREDIENTS INC,Darling International Inc,darling international,ticker_map_name
